File,Prob_Recyclable,Prob_Electronic,Prob_Organic,Prediksi
1.jpg,0.1017,0.1024,0.796,Organic
2.jpg,0.0059,0.0099,0.9842,Organic
3.jpg,0.0239,0.036,0.9401,Organic
4.jpg,0.019,0.9422,0.0388,Electronic
5.jpg,0.9276,0.0496,0.0228,Recyclable
6.jpg,0.4243,0.1497,0.426,Organic
7.jpg,0.0404,0.0326,0.927,Organic
8.jpg,0.5359,0.0454,0.4188,Recyclable
9.jpg,0.046,0.8681,0.0859,Electronic
10.jpg,0.2607,0.0386,0.7007,Organic
11.jpg,0.858,0.0181,0.124,Recyclable
12.jpg,0.8998,0.0241,0.076,Recyclable
13.jpg,0.0833,0.8639,0.0527,Electronic
14.jpg,0.1835,0.0837,0.7328,Organic
15.jpg,0.0231,0.044,0.9329,Organic
16.jpg,0.7046,0.0169,0.2785,Recyclable
17.jpg,0.1248,0.1547,0.7205,Organic
18.jpg,0.0145,0.012,0.9736,Organic
19.jpg,0.4527,0.1048,0.4425,Recyclable
20.jpg,0.7871,0.089,0.1239,Recyclable
21.jpg,0.0487,0.0357,0.9155,Organic
22.jpg,0.7009,0.0234,0.2757,Recyclable
23.jpg,0.8634,0.0485,0.0881,Recyclable
24.jpg,0.0322,0.0543,0.9135,Organic
25.jpg,0.4154,0.4808,0.1038,Electronic
26.jpg,0.1153,0.0455,0.8392,Organic
27.jpg,0.6133,0.0221,0.3646,Recyclable
28.jpg,0.0303,0.0401,0.9296,Organic
29.jpg,0.0928,0.0256,0.8816,Organic
30.jpg,0.8927,0.0569,0.0504,Recyclable
31.jpg,0.0386,0.0679,0.8935,Organic
32.jpg,0.7686,0.0391,0.1924,Recyclable
33.jpg,0.0695,0.8177,0.1128,Electronic
34.jpg,0.85,0.0159,0.134,Recyclable
35.jpg,0.7739,0.0631,0.1631,Recyclable
36.jpg,0.1166,0.0402,0.8432,Organic
37.jpg,0.8625,0.0612,0.0763,Recyclable
38.jpg,0.1295,0.0673,0.8032,Organic
39.jpg,0.0276,0.0284,0.944,Organic
40.jpg,0.0585,0.0298,0.9117,Organic
41.jpg,0.4515,0.059,0.4895,Organic
42.jpg,0.7093,0.0457,0.245,Recyclable
43.jpg,0.026,0.0059,0.968,Organic
44.jpg,0.4498,0.0739,0.4764,Organic
45.jpg,0.0451,0.0266,0.9283,Organic
46.jpg,0.0408,0.0179,0.9413,Organic
47.jpg,0.2821,0.0339,0.684,Organic
48.jpg,0.497,0.195,0.3081,Recyclable
49.jpg,0.0696,0.0435,0.887,Organic
50.jpg,0.0243,0.0402,0.9355,Organic
51.jpg,0.2533,0.1457,0.601,Organic
52.jpg,0.935,0.0384,0.0266,Recyclable
53.jpg,0.0998,0.0353,0.8649,Organic
54.jpg,0.0331,0.0163,0.9506,Organic
55.jpg,0.027,0.0829,0.8901,Organic
56.jpg,0.0206,0.0207,0.9586,Organic
57.jpg,0.0232,0.072,0.9049,Organic
58.jpg,0.9531,0.0253,0.0217,Recyclable
59.jpg,0.6778,0.0719,0.2503,Recyclable
60.jpg,0.0708,0.0667,0.8625,Organic
61.jpg,0.0258,0.4006,0.5736,Organic
62.jpg,0.0428,0.0198,0.9375,Organic
63.jpg,0.0156,0.0189,0.9655,Organic
64.jpg,0.0239,0.0341,0.942,Organic
65.jpg,0.3411,0.0963,0.5626,Organic
66.jpg,0.1013,0.8796,0.0191,Electronic
67.jpg,0.0695,0.0592,0.8714,Organic
68.jpg,0.0967,0.0478,0.8555,Organic
69.jpg,0.0607,0.0318,0.9075,Organic
70.jpg,0.0261,0.0317,0.9421,Organic
71.jpg,0.037,0.0751,0.8879,Organic
72.jpg,0.0359,0.0423,0.9218,Organic
73.jpg,0.0172,0.0356,0.9472,Organic
74.jpg,0.0258,0.0283,0.9459,Organic
75.jpg,0.0737,0.8358,0.0905,Electronic
76.jpg,0.2438,0.3298,0.4264,Organic
77.jpg,0.0697,0.884,0.0463,Electronic
78.jpg,0.0913,0.0807,0.8279,Organic
79.jpg,0.5143,0.0356,0.4501,Recyclable
80.jpg,0.1458,0.0646,0.7896,Organic
